topic,question,difficulty,explanation,choice_a,choice_b,choice_c,choice_d,choice_e,answer
Numerical Ability,A palengke vendor buys sacks of rice at P70 each and sells them at P98 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P98 - P70)/P70 x 100 = 40%.,35%,40%,30%,48%,,B
Numerical Ability,Aldwin deposits P9000 in a cooperative savings plan that earns 4% simple interest per year. How much interest will the deposit earn after 3 year(s)?,medium,Simple interest = Principal x Rate x Time = P9000 x 0.04 x 3 = P1080.,P1080,P864,P2160,P540,,A
Numerical Ability,A school supply store marks down a P199 raincoat by 30% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P199 x 0.70 = P139.30.,P139.30,P125.37,P153.23,P118.40,,A
Numerical Ability,Faye deposits P9000 in a cooperative savings plan that earns 4% simple interest per year. How much interest will the deposit earn after 2 year(s)?,medium,Simple interest = Principal x Rate x Time = P9000 x 0.04 x 2 = P720.,P720,P360,P900,P1440,,A
Numerical Ability,Bea deposits P20000 in a cooperative savings plan that earns 7% simple interest per year. How much interest will the deposit earn after 3 year(s)?,medium,Simple interest = Principal x Rate x Time = P20000 x 0.07 x 3 = P4200.,P4200,P5250,P2100,P3360,,A
Numerical Ability,"Worker A can wash the tricycles alone in 4 hours, and Worker B can do the same job alone in 12 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/4 + 1/12. Time together = (A x B)/(A+B) = (4x12)/(4+12) = 3 hours.,3 hours,2.10 hours,1.80 hours,6 hours,,A
Numerical Ability,A school supply store marks down a P850 ballpen set by 30% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P850 x 0.70 = P595.,P535.50,P595,P684.25,P565.25,,B
Numerical Ability,Shaira deposits P9000 in a cooperative savings plan that earns 8% simple interest per year. How much interest will the deposit earn after 3 year(s)?,medium,Simple interest = Principal x Rate x Time = P9000 x 0.08 x 3 = P2160.,P2700,P2160,P4320,P1728,,B
Numerical Ability,"Karen is currently 14 years old, and her sister is 3 years older. In 7 years, how old will her sister be?",easy,her sister's current age = 14+3 = 17. In 7 years: 17+7 = 24 years old.,27 years old,21 years old,24 years old,17 years old,,C
Numerical Ability,Bea deposits P12000 in a cooperative savings plan that earns 3% simple interest per year. How much interest will the deposit earn after 1 year(s)?,medium,Simple interest = Principal x Rate x Time = P12000 x 0.03 x 1 = P360.,P540,P180,P360,P432,,C
Numerical Ability,"Worker A can clean the barangay hall alone in 8 hours, and Worker B can do the same job alone in 6 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/8 + 1/6. Time together = (A x B)/(A+B) = (8x6)/(8+6) = 3.43 hours.,2.06 hours,3.43 hours,5.14 hours,6.17 hours,,B
Numerical Ability,"Worker A can repaint a fence alone in 3 hours, and Worker B can do the same job alone in 8 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/3 + 1/8. Time together = (A x B)/(A+B) = (3x8)/(3+8) = 2.18 hours.,3.27 hours,1.09 hours,2.18 hours,4.36 hours,,C
Numerical Ability,Renz deposits P12000 in a cooperative savings plan that earns 4% simple interest per year. How much interest will the deposit earn after 2 year(s)?,medium,Simple interest = Principal x Rate x Time = P12000 x 0.04 x 2 = P960.,P1152,P960,P720,P480,,B
Numerical Ability,A school supply store marks down a P899 umbrella by 5% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P899 x 0.95 = P854.05.,P982.16,P939.46,P854.05,P811.35,,C
Numerical Ability,"A tailor has 24 meters of cloth. If each barong requires 2.50 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(24 / 2.50) = 9.,7 barongs,11 barongs,10 barongs,9 barongs,,D
Numerical Ability,"A farmers' cooperative harvested 70 kilos of calamansi. If 1/5 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (1/5) x 70 kg = 14 kg.,14 kg,56 kg,42 kg,28 kg,,A
Numerical Ability,"If 5x + 26 = 66, what is the value of x?",medium,5x = 66 - 26 = 40. x = 40/5 = 8.,11,5,7,8,,D
Numerical Ability,"A tailor has 30 meters of cloth. If each barong requires 3 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(30 / 3) = 10.,7 barongs,12 barongs,10 barongs,13 barongs,,C
Numerical Ability,"Worker A can water the community garden alone in 2 hours, and Worker B can do the same job alone in 4 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/2 + 1/4. Time together = (A x B)/(A+B) = (2x4)/(2+4) = 1.33 hours.,1.33 hours,2.40 hours,2.67 hours,2 hours,,A
Numerical Ability,Rico and Tess split a P1800 sari-sari store profit in the ratio 1:3. How much does Rico (the 1-part) receive?,medium,Rico's share = (a/(a+b)) x total = (1/4) x P1800 = P450.,P540,P225,P450,P360,,C
Numerical Ability,"Worker A can water the community garden alone in 10 hours, and Worker B can do the same job alone in 12 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/10 + 1/12. Time together = (A x B)/(A+B) = (10x12)/(10+12) = 5.45 hours.,10.91 hours,5.45 hours,3.82 hours,9.82 hours,,B
Numerical Ability,A delivery van travels 18 km at a steady speed of 24 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 18 km / 24 km/h = 0.75 hours.,0.75 hours,1.05 hours,1.12 hours,0.38 hours,,A
Numerical Ability,"Ella is currently 28 years old, and her cousin is 11 years older. In 7 years, how old will her cousin be?",easy,her cousin's current age = 28+11 = 39. In 7 years: 39+7 = 46 years old.,39 years old,46 years old,53 years old,35 years old,,B
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 4 days: 15, 9, 16, 18. What was the average number of patients per day?",easy,Average = total patients / number of days = 58 / 4 = 14.50.,12.32,17.40,14.50,15.95,,C
Numerical Ability,Jasmine deposits P5000 in a cooperative savings plan that earns 8% simple interest per year. How much interest will the deposit earn after 2 year(s)?,medium,Simple interest = Principal x Rate x Time = P5000 x 0.08 x 2 = P800.,P800,P1000,P400,P640,,A
Numerical Ability,A palengke vendor buys sacks of rice at P28 each and sells them at P35 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P35 - P28)/P28 x 100 = 25%.,35%,17%,25%,20%,,C
Numerical Ability,Renz deposits P18000 in a cooperative savings plan that earns 4% simple interest per year. How much interest will the deposit earn after 2 year(s)?,medium,Simple interest = Principal x Rate x Time = P18000 x 0.04 x 2 = P1440.,P1440,P1800,P1728,P2880,,A
Numerical Ability,A school supply store marks down a P850 desk lamp by 5% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P850 x 0.95 = P807.50.,P686.38,P969,P807.50,P726.75,,C
Numerical Ability,"A tailor has 30 meters of cloth. If each barong requires 2 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(30 / 2) = 15.,14 barongs,18 barongs,15 barongs,12 barongs,,C
Numerical Ability,A palengke vendor buys sacks of rice at P20 each and sells them at P23 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P23 - P20)/P20 x 100 = 15%.,15%,7%,5%,23%,,A
Numerical Ability,Shaira deposits P12000 in a cooperative savings plan that earns 7% simple interest per year. How much interest will the deposit earn after 3 year(s)?,medium,Simple interest = Principal x Rate x Time = P12000 x 0.07 x 3 = P2520.,P3150,P2520,P1890,P3780,,B
Numerical Ability,A provincial bus travels 18 km at a steady speed of 48 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 18 km / 48 km/h = 0.38 hours.,0.28 hours,0.56 hours,0.22 hours,0.38 hours,,D
Numerical Ability,Noel and Mia split a P1000 sari-sari store profit in the ratio 5:7. How much does Noel (the 5-part) receive?,medium,Noel's share = (a/(a+b)) x total = (5/12) x P1000 = P416.67.,P625,P416.67,P333.33,P208.33,,B
Numerical Ability,"A farmers' cooperative harvested 192 kilos of calamansi. If 3/6 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (3/6) x 192 kg = 96 kg.,96 kg,160 kg,128 kg,32 kg,,A
Numerical Ability,Anna and Noel split a P600 sari-sari store profit in the ratio 1:2. How much does Anna (the 1-part) receive?,medium,Anna's share = (a/(a+b)) x total = (1/3) x P600 = P200.,P100,P140,P240,P200,,D
Numerical Ability,"A farmers' cooperative harvested 80 kilos of rice. If 3/4 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (3/4) x 80 kg = 60 kg.,60 kg,20 kg,72.40 kg,40 kg,,A
Numerical Ability,Rico and Cara split a P2000 sari-sari store profit in the ratio 3:5. How much does Rico (the 3-part) receive?,medium,Rico's share = (a/(a+b)) x total = (3/8) x P2000 = P750.,P900,P600,P750,P525,,C
Numerical Ability,"Karen is currently 35 years old, and her sister is 3 years older. In 9 years, how old will her sister be?",easy,her sister's current age = 35+3 = 38. In 9 years: 38+9 = 47 years old.,56 years old,38 years old,44 years old,47 years old,,D
Numerical Ability,A school supply store marks down a P240 notebook bundle by 40% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P240 x 0.60 = P144.,P136.80,P144,P165.60,P151.20,,B
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 6 days: 12, 18, 25, 23, 15, 19. What was the average number of patients per day?",easy,Average = total patients / number of days = 112 / 6 = 18.67.,24.27,22.40,18.67,14.93,,C
Numerical Ability,"A farmers' cooperative harvested 72 kilos of mangoes. If 3/4 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (3/4) x 72 kg = 54 kg.,36 kg,18 kg,54 kg,66.40 kg,,C
Numerical Ability,"A farmers' cooperative harvested 96 kilos of corn. If 4/6 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (4/6) x 96 kg = 64 kg.,64 kg,80 kg,32 kg,48 kg,,A
Numerical Ability,A palengke vendor buys sacks of rice at P22 each and sells them at P27.50 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P27.50 - P22)/P22 x 100 = 25%.,15%,33%,20%,25%,,D
Numerical Ability,A palengke vendor buys sacks of rice at P28 each and sells them at P32.20 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P32.20 - P28)/P28 x 100 = 15%.,20%,7%,15%,25%,,C
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 6 days: 12, 1, 4, 13, 12, 10. What was the average number of patients per day?",easy,Average = total patients / number of days = 52 / 6 = 8.67.,7.37,7.80,8.67,11.27,,C
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 5 days: 13, 7, 9, 11, 8. What was the average number of patients per day?",easy,Average = total patients / number of days = 48 / 5 = 9.60.,7.68,9.60,8.16,10.56,,B
Numerical Ability,A school supply store marks down a P375 desk lamp by 5% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P375 x 0.95 = P356.25.,P338.44,P356.25,P409.69,P320.62,,B
Numerical Ability,"Worker A can repaint a fence alone in 6 hours, and Worker B can do the same job alone in 4 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/6 + 1/4. Time together = (A x B)/(A+B) = (6x4)/(6+4) = 2.40 hours.,1.44 hours,3.60 hours,2.40 hours,1.20 hours,,C
Numerical Ability,A jeepney travels 12 km at a steady speed of 24 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 12 km / 24 km/h = 0.50 hours.,0.25 hours,0.88 hours,0.50 hours,0.75 hours,,C
Numerical Ability,"Out of 80 LED bulbs inspected at a warehouse, 5 were found defective. What percentage were defective?",medium,Defective rate = (defective/total) x 100 = (5/80) x 100 = 6.25%.,3.75%,9.38%,6.25%,4.38%,,C
Numerical Ability,Bea deposits P5000 in a cooperative savings plan that earns 5% simple interest per year. How much interest will the deposit earn after 1 year(s)?,medium,Simple interest = Principal x Rate x Time = P5000 x 0.05 x 1 = P250.,P250,P500,P187.50,P125,,A
Numerical Ability,"Out of 100 LED bulbs inspected at a warehouse, 4 were found defective. What percentage were defective?",medium,Defective rate = (defective/total) x 100 = (4/100) x 100 = 4%.,5.60%,2.80%,3.20%,4%,,D
Numerical Ability,"A tailor has 45 meters of cloth. If each barong requires 3 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(45 / 3) = 15.,16 barongs,17 barongs,15 barongs,14 barongs,,C
Numerical Ability,"If 6x + 10 = 70, what is the value of x?",medium,6x = 70 - 10 = 60. x = 60/6 = 10.,8,7,12,10,,D
Numerical Ability,Bea and Noel split a P600 sari-sari store profit in the ratio 1:2. How much does Bea (the 1-part) receive?,medium,Bea's share = (a/(a+b)) x total = (1/3) x P600 = P200.,P200,P260,P100,P300,,A
Numerical Ability,Jun and Noel split a P1500 sari-sari store profit in the ratio 4:5. How much does Jun (the 4-part) receive?,medium,Jun's share = (a/(a+b)) x total = (4/9) x P1500 = P666.67.,P666.67,P1000,P800,P466.67,,A
Numerical Ability,"Worker A can repaint a fence alone in 10 hours, and Worker B can do the same job alone in 3 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/10 + 1/3. Time together = (A x B)/(A+B) = (10x3)/(10+3) = 2.31 hours.,4.15 hours,1.38 hours,2.31 hours,4.62 hours,,C
Numerical Ability,"A tailor has 15 meters of cloth. If each barong requires 2.50 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(15 / 2.50) = 6.,6 barongs,4 barongs,7 barongs,9 barongs,,A
Numerical Ability,A jeepney travels 24 km at a steady speed of 60 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 24 km / 60 km/h = 0.40 hours.,0.40 hours,0.30 hours,0.20 hours,0.56 hours,,A
Numerical Ability,"Grace is currently 31 years old, and her aunt is 6 years older. In 3 years, how old will her aunt be?",easy,her aunt's current age = 31+6 = 37. In 3 years: 37+3 = 40 years old.,46 years old,40 years old,37 years old,34 years old,,B
Numerical Ability,"Ella is currently 31 years old, and her cousin is 6 years older. In 7 years, how old will her cousin be?",easy,her cousin's current age = 31+6 = 37. In 7 years: 37+7 = 44 years old.,44 years old,38 years old,51 years old,37 years old,,A
Numerical Ability,Anna and Rico split a P2000 sari-sari store profit in the ratio 2:3. How much does Anna (the 2-part) receive?,medium,Anna's share = (a/(a+b)) x total = (2/5) x P2000 = P800.,P1200,P640,P1040,P800,,D
Numerical Ability,A delivery van travels 48 km at a steady speed of 30 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 48 km / 30 km/h = 1.60 hours.,2.40 hours,1.60 hours,2.80 hours,1.20 hours,,B
Numerical Ability,"Grace is currently 20 years old, and her aunt is 5 years older. In 5 years, how old will her aunt be?",easy,her aunt's current age = 20+5 = 25. In 5 years: 25+5 = 30 years old.,40 years old,35 years old,30 years old,25 years old,,C
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 4 days: 1, 11, 9, 8. What was the average number of patients per day?",easy,Average = total patients / number of days = 29 / 4 = 7.25.,7.25,7.98,8.70,9.43,,A
Numerical Ability,Tess and Bea split a P750 sari-sari store profit in the ratio 5:7. How much does Tess (the 5-part) receive?,medium,Tess's share = (a/(a+b)) x total = (5/12) x P750 = P312.50.,P312.50,P406.25,P250,P375,,A
Numerical Ability,"A tailor has 27 meters of cloth. If each barong requires 1.50 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(27 / 1.50) = 18.,20 barongs,19 barongs,18 barongs,21 barongs,,C
Numerical Ability,A school supply store marks down a P480 notebook bundle by 12.50% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P480 x 0.88 = P420.,P462,P441,P399,P420,,D
Numerical Ability,"If 2x + 16 = 22, what is the value of x?",medium,2x = 22 - 16 = 6. x = 6/2 = 3.,2,7,5,3,,D
Numerical Ability,"If 5x + 16 = 81, what is the value of x?",medium,5x = 81 - 16 = 65. x = 65/5 = 13.,13,12,11,14,,A
Numerical Ability,"Tonyo is currently 13 years old, and his nephew is 8 years older. In 8 years, how old will his nephew be?",easy,his nephew's current age = 13+8 = 21. In 8 years: 21+8 = 29 years old.,37 years old,21 years old,29 years old,45 years old,,C
Numerical Ability,A jeepney travels 45 km at a steady speed of 60 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 45 km / 60 km/h = 0.75 hours.,1.31 hours,0.75 hours,0.45 hours,0.56 hours,,B
Numerical Ability,A school supply store marks down a P280 backpack by 20% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P280 x 0.80 = P224.,P268.80,P212.80,P224,P235.20,,C
Numerical Ability,"A farmers' cooperative harvested 63 kilos of corn. If 2/3 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (2/3) x 63 kg = 42 kg.,54.40 kg,21 kg,50.70 kg,42 kg,,D
Numerical Ability,"Worker A can repaint a fence alone in 6 hours, and Worker B can do the same job alone in 12 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/6 + 1/12. Time together = (A x B)/(A+B) = (6x12)/(6+12) = 4 hours.,4 hours,2.80 hours,8 hours,2.40 hours,,A
Numerical Ability,Anna and Bea split a P750 sari-sari store profit in the ratio 5:7. How much does Anna (the 5-part) receive?,medium,Anna's share = (a/(a+b)) x total = (5/12) x P750 = P312.50.,P375,P250,P312.50,P218.75,,C
Numerical Ability,A jeepney travels 20 km at a steady speed of 48 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 20 km / 48 km/h = 0.42 hours.,0.42 hours,0.25 hours,0.31 hours,0.62 hours,,A
Numerical Ability,"A farmers' cooperative harvested 288 kilos of mangoes. If 5/6 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (5/6) x 288 kg = 240 kg.,144 kg,48 kg,240 kg,96 kg,,C
Numerical Ability,A palengke vendor buys sacks of rice at P40 each and sells them at P44 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P44 - P40)/P40 x 100 = 10%.,23%,10%,15%,5%,,B
Numerical Ability,"Ella is currently 21 years old, and her cousin is 9 years older. In 9 years, how old will her cousin be?",easy,her cousin's current age = 21+9 = 30. In 9 years: 30+9 = 39 years old.,39 years old,48 years old,57 years old,30 years old,,A
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 4 days: 20, 11, 12, 12. What was the average number of patients per day?",easy,Average = total patients / number of days = 55 / 4 = 13.75.,12.38,11,13.75,16.50,,C
Numerical Ability,"A tailor has 33 meters of cloth. If each barong requires 1.50 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(33 / 1.50) = 22.,25 barongs,22 barongs,21 barongs,24 barongs,,B
Numerical Ability,"Out of 150 LED bulbs inspected at a warehouse, 14 were found defective. What percentage were defective?",medium,Defective rate = (defective/total) x 100 = (14/150) x 100 = 9.33%.,12.13%,14%,9.33%,7.47%,,C
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 5 days: 12, 17, 13, 8, 8. What was the average number of patients per day?",easy,Average = total patients / number of days = 58 / 5 = 11.60.,10.44,9.28,13.92,11.60,,D
Numerical Ability,Mico deposits P15000 in a cooperative savings plan that earns 2% simple interest per year. How much interest will the deposit earn after 1 year(s)?,medium,Simple interest = Principal x Rate x Time = P15000 x 0.02 x 1 = P300.,P360,P300,P150,P600,,B
Numerical Ability,"A farmers' cooperative harvested 255 kilos of coconuts. If 4/5 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (4/5) x 255 kg = 204 kg.,102 kg,153 kg,204 kg,51 kg,,C
Numerical Ability,"Ella is currently 6 years old, and her cousin is 4 years older. In 5 years, how old will her cousin be?",easy,her cousin's current age = 6+4 = 10. In 5 years: 10+5 = 15 years old.,11 years old,15 years old,25 years old,19 years old,,B
Numerical Ability,"If 4x + 4 = 52, what is the value of x?",medium,4x = 52 - 4 = 48. x = 48/4 = 12.,12,9,14,11,,A
Numerical Ability,"A tailor has 24 meters of cloth. If each barong requires 3 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(24 / 3) = 8.,5 barongs,10 barongs,8 barongs,6 barongs,,C
Numerical Ability,"A farmers' cooperative harvested 312 kilos of calamansi. If 5/8 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (5/8) x 312 kg = 195 kg.,117 kg,195 kg,78 kg,273 kg,,B
Numerical Ability,A school supply store marks down a P375 lunch box by 15% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P375 x 0.85 = P318.75.,P318.75,P366.56,P286.88,P302.81,,A
Numerical Ability,A school supply store marks down a P650 office chair by 10% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P650 x 0.90 = P585.,P614.25,P585,P672.75,P643.50,,B
Numerical Ability,"A farmers' cooperative harvested 472 kilos of calamansi. If 6/8 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (6/8) x 472 kg = 354 kg.,236 kg,354 kg,295 kg,118 kg,,B
Numerical Ability,"Worker A can water the community garden alone in 6 hours, and Worker B can do the same job alone in 5 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/6 + 1/5. Time together = (A x B)/(A+B) = (6x5)/(6+5) = 2.73 hours.,5.45 hours,4.09 hours,2.73 hours,1.64 hours,,C
Numerical Ability,Renz deposits P15000 in a cooperative savings plan that earns 5% simple interest per year. How much interest will the deposit earn after 3 year(s)?,medium,Simple interest = Principal x Rate x Time = P15000 x 0.05 x 3 = P2250.,P2250,P1687.50,P2700,P3375,,A
Numerical Ability,"A tailor has 18 meters of cloth. If each barong requires 2 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(18 / 2) = 9.,12 barongs,6 barongs,9 barongs,7 barongs,,C
Numerical Ability,"A farmers' cooperative harvested 55 kilos of rice. If 4/5 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (4/5) x 55 kg = 44 kg.,33 kg,22 kg,44 kg,11 kg,,C
Numerical Ability,A school supply store marks down a P720 desk lamp by 10% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P720 x 0.90 = P648.,P648,P615.60,P680.40,P712.80,,A
Numerical Ability,"If 2x + 9 = 17, what is the value of x?",medium,2x = 17 - 9 = 8. x = 8/2 = 4.,3,1,2,4,,D
Numerical Ability,"Out of 500 school chairs inspected at a warehouse, 5 were found defective. What percentage were defective?",medium,Defective rate = (defective/total) x 100 = (5/500) x 100 = 1%.,0.70%,0.60%,1.30%,1%,,D
Numerical Ability,Jun and Ken split a P3000 sari-sari store profit in the ratio 2:5. How much does Jun (the 2-part) receive?,medium,Jun's share = (a/(a+b)) x total = (2/7) x P3000 = P857.14.,P428.57,P1285.71,P857.14,P600,,C
Numerical Ability,"Miguel is currently 37 years old, and his brother is 12 years older. In 6 years, how old will his brother be?",easy,his brother's current age = 37+12 = 49. In 6 years: 49+6 = 55 years old.,67 years old,55 years old,61 years old,49 years old,,B
Numerical Ability,Faye deposits P4500 in a cooperative savings plan that earns 4% simple interest per year. How much interest will the deposit earn after 1 year(s)?,medium,Simple interest = Principal x Rate x Time = P4500 x 0.04 x 1 = P180.,P180,P135,P360,P270,,A
Numerical Ability,A palengke vendor buys sacks of rice at P20 each and sells them at P28 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P28 - P20)/P20 x 100 = 40%.,50%,40%,48%,55%,,B
Numerical Ability,Rico and Noel split a P1000 sari-sari store profit in the ratio 3:4. How much does Rico (the 3-part) receive?,medium,Rico's share = (a/(a+b)) x total = (3/7) x P1000 = P428.57.,P342.86,P214.29,P428.57,P300,,C
Numerical Ability,Cara and Ken split a P2000 sari-sari store profit in the ratio 1:2. How much does Cara (the 1-part) receive?,medium,Cara's share = (a/(a+b)) x total = (1/3) x P2000 = P666.67.,P333.33,P666.67,P533.33,P800,,B
Numerical Ability,"Worker A can pack the donation boxes alone in 8 hours, and Worker B can do the same job alone in 3 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/8 + 1/3. Time together = (A x B)/(A+B) = (8x3)/(8+3) = 2.18 hours.,1.09 hours,1.31 hours,2.18 hours,4.36 hours,,C
Numerical Ability,A motorcycle courier travels 40 km at a steady speed of 30 km/h. How many hours will the trip take?,easy,Time = Distance / Speed = 40 km / 30 km/h = 1.33 hours.,0.80 hours,1.33 hours,2.33 hours,2 hours,,B
Numerical Ability,"A farmers' cooperative harvested 296 kilos of calamansi. If 6/8 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (6/8) x 296 kg = 222 kg.,222 kg,259 kg,148 kg,37 kg,,A
Numerical Ability,Ken and Cara split a P1800 sari-sari store profit in the ratio 5:7. How much does Ken (the 5-part) receive?,medium,Ken's share = (a/(a+b)) x total = (5/12) x P1800 = P750.,P525,P975,P375,P750,,D
Numerical Ability,"A barangay health worker logged the number of walk-in patients over 4 days: 19, 12, 17, 11. What was the average number of patients per day?",easy,Average = total patients / number of days = 59 / 4 = 14.75.,13.28,11.80,12.54,14.75,,D
